Per capita personal income 2/,FIPS,AreaName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
3,1001,"Autauga, AL",2647,2991,3253,3465,3810,4013,4190,4811,5085,5816,6837,7499,7891,8432,9057,10194,11005,11478,12388,13388,14262,14851,15795,16441,17054,18086,18753,19576,20460,21368,22272,23235,24750,24981,26260,27130,28643,29886,31488,32547
3,1003,"Baldwin, AL",2694,2825,3172,3480,4068,4518,4956,5674,5885,6504,6933,7661,8812,9119,9928,10717,11571,12019,12499,13317,14698,15534,16665,17758,18739,19836,20833,22003,23052,24131,25044,26528,26833,27148,27455,29433,31163,33681,35146,35738
3,1005,"Barbour, AL",2092,2474,2607,2990,3328,3774,3877,4361,4918,5621,6127,6371,7141,7458,7983,9125,9705,10488,11056,12072,12782,13244,13897,14623,14976,15588,15543,15738,16370,17258,18536,18571,19648,19887,19942,20984,21783,22424,23428,23764
3,1007,"Bibb, AL",1966,2334,2599,2866,3155,3508,3775,4371,4705,5408,6033,6493,6934,7244,7812,8686,9237,9908,10158,11101,11678,12360,12606,13178,13638,14431,15117,15646,16159,16131,16553,17869,18326,18693,19409,20694,21179,22488,23598,24401
3,1009,"Blount, AL",2593,2556,2744,3064,3579,3635,4266,4656,4991,5605,6067,6762,7339,7628,7967,8872,9701,9813,10400,11760,12900,13507,13997,14475,14933,15699,16342,17449,17975,19167,19716,20382,21786,21404,22154,23043,23780,24020,25299,25868
3,1011,"Bullock, AL",1784,2134,2352,2715,3160,3317,3415,4027,4409,4726,5279,5435,6099,6263,6943,6961,7524,8053,7947,8434,9485,10248,11063,11993,12277,12594,13283,13198,14367,15450,15806,15663,17621,18020,17925,19145,19285,20561,20907,21634
3,1013,"Butler, AL",1992,2180,2341,2725,3146,3442,3833,4217,4641,5517,6113,6379,7249,7234,7708,8212,8543,9048,9488,9998,10582,11095,11795,12573,13264,14163,15224,15792,16049,17123,17974,18861,20710,21781,22257,23470,24008,25046,26700,27800
3,1015,"Calhoun, AL",2711,2789,3116,3480,3784,4207,4773,5122,5775,6142,6758,7580,8312,8825,9491,10608,11432,12035,12510,13240,14140,14637,15566,16262,16605,17231,18037,18606,19282,20268,20821,21521,22502,23652,24893,26460,27535,29063,31163,32199
3,1017,"Chambers, AL",2481,2793,3014,3472,3869,4204,4408,5067,5454,5951,6383,7066,7599,7984,8833,9368,9990,10738,11651,12315,13398,13553,13612,14450,15084,15786,16425,17058,18052,18833,19765,20210,21785,21987,22309,23424,24054,25124,26139,26020
3,1019,"Cherokee, AL",2348,2428,2638,2901,3380,3515,3654,4303,4511,5213,6096,6366,7399,7640,8035,8630,9000,9407,10087,11201,11860,12220,13179,13802,14189,14696,15560,16332,17012,17437,17878,18442,20047,20556,21273,22427,23274,24023,25834,26780
3,1021,"Chilton, AL",2193,2416,2752,2993,3381,3529,3919,4477,4948,5584,6197,6851,7566,8224,8927,9675,10029,10367,10881,11485,12180,12762,13264,13958,14639,15478,16473,16911,17946,18209,19228,19610,20531,20786,21320,22496,23965,25488,26933,27477
3,1023,"Choctaw, AL",1581,1906,2044,2244,2473,2735,3067,3476,3774,4380,5011,5520,6186,6921,7633,8351,9014,10036,10085,10593,11716,12480,13502,14186,14656,15937,16461,16526,17437,18269,19354,19568,19975,21010,21828,22529,23620,25193,26253,26763
3,1025,"Clarke, AL",2135,2404,2640,2865,3174,3520,3795,4451,5055,5807,6395,6931,7260,7635,8275,9002,9668,10008,10385,11175,12254,13143,13727,14328,14875,15532,16681,17816,18148,18763,19522,20415,20846,21441,22484,23817,24633,26098,27962,28949
3,1027,"Clay, AL",2170,2322,2423,2682,3058,3169,3627,4061,4597,5177,5621,6772,7385,8025,8049,8727,8990,9657,10315,11077,12351,13423,14155,15028,15864,16950,17441,17780,17843,18704,18658,18586,20201,20447,21573,23172,24676,26130,26717,26710
3,1029,"Cleburne, AL",2453,2561,2721,2994,3407,3524,4104,4507,5098,5565,6198,7203,7474,7970,8982,9857,10322,10861,10956,11843,13040,13768,14584,14475,15643,16278,16987,16854,16976,18003,18448,18211,19886,20175,20953,23187,24485,25233,26935,27593
3,1031,"Coffee, AL",2497,2982,3183,2926,3293,3744,4050,4477,5087,5818,6510,6789,8075,8711,9379,10767,11508,12287,12938,13856,15081,14897,16056,16804,17385,17952,18480,19261,20265,22351,23373,23790,26031,26838,27825,29551,30284,31150,33032,33884
3,1033,"Colbert, AL",2705,2988,3241,3510,3889,4425,4695,5511,5965,6820,7427,8100,8850,9352,9579,10405,10934,11485,12137,13309,14175,15487,15981,16697,17143,18013,18708,19609,20216,20064,20555,21351,21757,22263,23574,24170,25348,26718,28192,29314
3,1035,"Conecuh, AL",1777,1995,2227,2532,2994,3203,3388,3923,4301,5134,5891,6255,7086,7368,7998,8531,9059,9218,9299,9859,10889,11801,12770,13635,14227,15432,16026,16500,17700,18435,18690,19298,20548,20431,21289,22533,23939,24735,25588,26981
3,1037,"Coosa, AL",2249,2394,2531,2746,2970,3130,3403,3944,4183,4589,5174,6107,6322,6721,7399,7947,8679,9168,9664,10419,11389,12040,12527,13519,13485,13927,14380,15476,16409,16757,17231,18191,18550,18567,19990,21379,22152,23849,24634,25342
3,1039,"Covington, AL",2403,2694,2927,3234,3606,3778,4143,4618,5148,5813,6380,6709,7782,8064,8742,9439,9813,10560,10739,11173,12335,12970,13777,14526,15030,15936,16331,16845,17798,18713,19075,19761,21956,22275,23624,24807,25268,26066,27199,28271
3,1041,"Crenshaw, AL",1893,2069,2226,2644,3022,3135,3791,3981,4420,5167,5221,5567,6745,6870,7768,9202,8870,9706,9577,10898,11817,12368,13334,14384,15368,16457,16978,17793,18130,19841,20960,21538,23754,22614,23966,26404,28730,28215,29462,30040
3,1043,"Cullman, AL",2456,2464,2587,2848,3273,3479,4347,4667,5127,5671,6070,6814,7714,8091,8811,9995,10505,11273,11487,12361,13597,14100,14768,15625,16157,17083,17643,18107,19308,20757,21908,22017,23736,23413,24490,25982,27328,27657,28496,28930
