FIPS ,STATE,COUNTY,Manu_Emp,Govt_Emp,Farm_Emp,Total_Emp,EMP06
1001, AL,Autauga,2350,1656,614,11471,18350
1007, AL,Bibb,1715,1012,247,5564,6500
1009, AL,Blount,2541,1716,1657,11811,18733
1011, AL,Bullock,1028,970,650,4105,4452
1015, AL,Calhoun,11533,19503,916,61723,65041
1017, AL,Chambers,7367,1808,470,16729,14730
1019, AL,Cherokee,1500,983,1135,6818,8633
1021, AL,Chilton,1823,1520,970,9915,13399
1027, AL,Clay,2860,902,570,6217,7127
1029, AL,Cleburne,1197,754,499,4020,4822
1033, AL,Colbert,6438,5974,815,28588,29298
1037, AL,Coosa,1378,570,269,3149,2789
1043, AL,Cullman,6066,3914,3312,30499,42704
1047, AL,Dallas,5544,3453,895,21621,21565
1049, AL,De Kalb,10760,2805,2798,27509,36655
1051, AL,Elmore,2072,3408,885,14527,25939
1055, AL,Etowah,10294,5861,1151,43841,50407
1057, AL,Fayette,2807,1247,435,7591,7728
1059, AL,Franklin,3357,1767,1066,12264,15263
1063, AL,Greene,417,921,467,3667,3503
1065, AL,Hale,1167,986,681,5004,5684
1071, AL,Jackson,7012,4333,1681,22143,25610
1073, AL,Jefferson,43621,61209,600,415793,480948
1075, AL,Lamar,3333,790,440,7893,6164
1077, AL,Lauderdale,7471,6106,1649,36577,44985
1079, AL,Lawrence,2600,1889,1546,11445,11948
1081, AL,Lee,9032,11505,615,43423,66646
1083, AL,Limestone,7070,7778,1743,27182,39996
1087, AL,Macon,248,2979,581,9234,8834
1089, AL,Madison,34304,37425,1599,165616,214192
1091, AL,Marengo,2687,1652,717,9526,10858
1093, AL,Marion,5751,1598,839,13598,16707
1095, AL,Marshall,13262,4989,2249,40506,47415
1101, AL,Montgomery,13705,35699,1092,141984,178149
1103, AL,Morgan,13964,7307,1680,54133,63884
1105, AL,Perry,1201,781,601,4425,3762
1107, AL,Pickens,1477,1148,697,6549,6509
1111, AL,Randolph,2434,1446,784,7937,8543
1113, AL,Russell,3469,3127,400,16273,17192
1115, AL,St. Clair,2379,2570,839,14623,24844
1117, AL,Shelby,7730,5170,711,38088,92163
1119, AL,Sumter,1515,1481,600,6685,5607
1121, AL,Talladega,8342,6050,798,29637,38958
1123, AL,Tallapoosa,9753,2164,444,20724,19329
1125, AL,Tuscaloosa,10609,19526,684,76838,108488
1127, AL,Walker,3427,3385,724,26136,33350
1133, AL,Winston,4935,1407,860,11986,12341
13011,GA,Banks,1087,426,647,3872,8986
13013,GA,Barrow,3159,1575,570,11815,25702
13015,GA,Bartow,7957,3435,648,25844,52896
13045,GA,Carroll,11230,4499,1063,35541,52535
13047,GA,Catoosa,3558,2795,361,15304,26209
13055,GA,Chattooga,3964,1435,361,9115,10053
13057,GA,Cherokee,2764,3844,832,26888,72642
13059,GA,Clarke,10767,16517,258,62748,84573
13067,GA,Cobb,22699,28391,229,249326,433662
13077,GA,Coweta,5599,2556,498,22370,47417
13083,GA,Dade,879,547,233,4027,5983
13085,GA,Dawson,209,511,284,2649,11332
