	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	approve	approve	approve	approve	approve	approve	approve
							
hrat	-0.00234*	-0.00234*	-0.00234*	-0.00234*	-0.00234*	-0.00234*	-0.00234*
	(0.00129)	(0.00129)	(0.00129)	(0.00129)	(0.00129)	(0.00129)	(0.00129)
loanprc	-0.231***	-0.231***	-0.231***	-0.231***	-0.231***	-0.231***	-0.231***
	(0.0503)	(0.0503)	(0.0503)	(0.0503)	(0.0503)	(0.0503)	(0.0503)
unem_ind	-0.00921**	-0.00921**	-0.00921**	-0.00921**	-0.00921**	-0.00921**	-0.00921**
	(0.00429)	(0.00429)	(0.00429)	(0.00429)	(0.00429)	(0.00429)	(0.00429)
male	-0.00189	-0.00189	-0.00189	-0.00189	-0.00189	-0.00189	-0.00189
	(0.0258)	(0.0258)	(0.0258)	(0.0258)	(0.0258)	(0.0258)	(0.0258)
married	0.0270	0.0270	0.0270	0.0270	0.0270	0.0270	0.0270
	(0.0222)	(0.0222)	(0.0222)	(0.0222)	(0.0222)	(0.0222)	(0.0222)
dep	-0.00121	-0.00121	-0.00121	-0.00121	-0.00121	-0.00121	-0.00121
	(0.00899)	(0.00899)	(0.00899)	(0.00899)	(0.00899)	(0.00899)	(0.00899)
school	0.0236	0.0236	0.0236	0.0236	0.0236	0.0236	0.0236
	(0.0230)	(0.0230)	(0.0230)	(0.0230)	(0.0230)	(0.0230)	(0.0230)
cosign	0.0431	0.0431	0.0431	0.0431	0.0431	0.0431	0.0431
	(0.0571)	(0.0571)	(0.0571)	(0.0571)	(0.0571)	(0.0571)	(0.0571)
chist	0.0779***	0.0779***	0.0779***	0.0779***	0.0779***	0.0779***	0.0779***
	(0.0266)	(0.0266)	(0.0266)	(0.0266)	(0.0266)	(0.0266)	(0.0266)
bankrupt	-0.278***	-0.278***	-0.278***	-0.278***	-0.278***	-0.278***	-0.278***
	(0.0402)	(0.0402)	(0.0402)	(0.0402)	(0.0402)	(0.0402)	(0.0402)
mortlate1	-0.123**	-0.123**	-0.123**	-0.123**	-0.123**	-0.123**	-0.123**
	(0.0622)	(0.0622)	(0.0622)	(0.0622)	(0.0622)	(0.0622)	(0.0622)
mortlate2	-0.114	-0.114	-0.114	-0.114	-0.114	-0.114	-0.114
	(0.0911)	(0.0911)	(0.0911)	(0.0911)	(0.0911)	(0.0911)	(0.0911)
high_vacancy	-0.0312	-0.0312	-0.0312	-0.0312	-0.0312	-0.0312	-0.0312
	(0.0191)	(0.0191)	(0.0191)	(0.0191)	(0.0191)	(0.0191)	(0.0191)
white	0.131***	0.131***	0.131***	0.131***	0.131***	0.131***	0.131***
	(0.0263)	(0.0263)	(0.0263)	(0.0263)	(0.0263)	(0.0263)	(0.0263)
Constant	0.971***	0.971***	0.971***	0.971***	0.971***	0.971***	0.971***
	(0.0697)	(0.0697)	(0.0697)	(0.0697)	(0.0697)	(0.0697)	(0.0697)
							
Observations	1,129	1,129	1,129	1,129	1,129	1,129	1,129
R-squared	0.141	0.141	0.141	0.141	0.141	0.141	0.141
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
