Lattitude,Longitude
-95.86,32.58
-95.81,29.54
-95.72,29.79
-95.61,29.92
-95.52,29.70
-95.51,29.85
-95.46,30.01
-95.42,29.68
-95.41,29.85
-95.38,29.70
-95.34,32.34
-95.27,32.31
-95.27,32.33
-95.26,33.16
-95.25,29.77
-95.23,32.23
-95.19,29.66
-95.09,30.34
-94.89,30.04
-94.87,32.39
-94.78,32.53
-94.75,32.54
-94.73,31.30
-94.72,31.33
-94.65,31.63
-94.04,33.43
-94.02,30.13
-93.97,30.43
-93.86,32.45
-93.80,32.41
-93.78,32.45
-93.75,32.50
-93.72,32.42
-93.72,32.45
-93.71,32.55
-93.70,32.53
-93.68,32.49
-93.67,32.53
-93.27,31.13
-93.26,30.24
-93.22,30.18
-93.18,30.21
-93.08,34.12
-92.57,34.58
-92.49,31.27
-92.47,31.32
-92.38,30.23
-92.34,34.75
-92.10,32.52
-92.08,32.49
-92.08,32.52
-92.08,30.21
-92.07,30.52
-92.07,30.18
-92.07,30.25
-92.05,30.16
-92.03,34.98
-92.02,30.21
-92.01,30.23
-91.98,30.17
-91.90,32.78
-91.26,29.68
-91.21,29.96
-91.17,30.47
-91.15,30.65
-91.14,30.45
-91.11,30.43
-91.06,30.39
-91.06,30.43
-91.02,30.41
-91.01,30.44
-90.94,30.21
-90.91,30.23
-90.75,29.61
-90.75,29.62
-90.69,29.58
-90.55,29.69
-90.50,30.52
-90.46,31.58
-90.25,30.02
-90.23,30.01
-90.22,32.25
-90.18,29.99
-90.16,30.00
-90.16,30.84
-90.14,32.27
-90.11,29.98
-90.08,30.44
-90.05,29.91
-90.01,32.36
-89.98,35.10
-89.98,29.95
-89.86,30.79
-89.82,31.24
-89.79,35.17
-89.78,30.29
-89.48,32.36
-89.38,31.32
-89.35,30.32
-89.14,31.69
-87.74,31.95
-87.71,30.54
-87.68,30.40
-87.43,30.31
-87.27,34.48
-87.26,30.53
-87.16,30.35
-87.15,30.60
-86.97,34.79
-86.86,30.40
-86.57,30.76
-86.35,32.38
-86.29,32.36
-86.25,33.17
-86.25,31.28
-86.12,30.70
-85.99,31.84
-85.92,30.27
-85.86,31.33
-85.73,30.19
-85.59,30.15
-85.43,31.25
-85.38,32.65
-85.30,29.81
-84.94,32.42
-84.33,33.83
-84.33,32.89
-84.30,30.45
-84.29,30.38
-84.28,30.46
-84.28,30.41
-84.27,34.07
-84.26,30.44
-84.23,30.46
-84.21,33.96
-84.21,31.61
-84.16,31.58
-84.14,31.55
-84.10,31.57
-84.00,35.75
-83.95,30.85
-83.94,33.04
-83.87,33.83
-83.78,31.18
-83.66,32.81
-83.65,32.62
-83.62,32.86
-83.58,30.10
-83.53,31.46
-83.44,31.14
-83.32,30.84
-83.28,30.85
-83.04,42.33
-82.93,32.54
-82.85,31.49
-82.84,34.69
-82.74,28.21
-82.73,27.79
-82.73,28.25
-82.71,27.87
-82.70,28.36
-82.68,27.81
-82.65,30.24
-82.65,27.84
-82.64,30.19
-82.62,27.50
-82.58,28.89
-82.58,27.42
-82.58,34.82
-82.56,27.46
-82.55,27.36
-82.53,27.26
-82.51,27.97
-82.50,33.51
-82.49,27.98
-82.48,27.49
-82.46,28.03
-82.46,27.27
-82.45,28.05
-82.44,35.30
-82.42,34.19
-82.41,29.66
-82.40,28.05
-82.38,29.62
-82.33,32.59
-82.32,29.65
-82.28,34.95
-82.21,41.38
-82.19,29.15
-82.17,29.17
-82.14,29.21
-82.14,29.17
-82.12,27.99
-82.11,29.94
-82.11,29.19
-82.08,26.97
-82.06,29.06
-82.03,34.50
-82.02,34.99
-82.01,26.90
-81.98,30.28
-81.91,28.01
-81.91,35.35
-81.89,28.83
-81.85,27.21
-81.78,30.13
-81.78,24.56
-81.78,28.82
-81.75,30.30
-81.74,28.55
-81.74,24.57
-81.69,28.82
-81.67,29.64
-81.66,30.79
-81.66,30.43
-81.65,30.62
-81.64,34.73
-81.63,31.89
-81.62,31.83
-81.61,29.64
-81.50,28.67
-81.48,28.58
-81.47,31.17
-81.47,40.96
-81.46,30.64
-81.44,31.39
-81.43,28.61
-81.42,28.36
-81.42,28.49
-81.41,28.30
-81.40,28.43
-81.40,28.39
-81.39,28.55
-81.38,28.51
-81.37,28.34
-81.37,28.29
-81.36,28.45
-81.30,29.05
-81.21,28.65
-81.15,29.48
-81.15,32.10
-81.13,29.34
-81.11,32.03
-81.10,26.83
-81.08,29.28
-81.08,32.27
-81.04,29.17
-81.04,24.73
-80.97,29.15
-80.95,26.75
-80.94,29.01
-80.84,35.21
-80.80,28.59
-80.77,28.47
-80.73,28.33
-80.72,28.23
-80.70,28.38
-80.70,28.38
-80.69,32.40
-80.67,28.15
-80.66,35.17
-80.61,35.40
-80.56,35.01
-80.48,33.98
-80.44,25.10
-80.42,25.66
-80.40,25.76
-80.36,26.06
-80.35,25.60
-80.34,25.62
-80.34,25.58
-80.30,26.01
-80.29,25.90
-80.28,26.17
-80.25,26.12
-80.25,26.09
-80.23,25.77
-80.23,26.14
-80.21,25.86
