"CA1-3 Personal income summary"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"Fips","Area","2011"
"01001","Autauga, AL",32657
"01003","Baldwin, AL",38024
"01005","Barbour, AL",26807
"01007","Bibb, AL",24180
"01009","Blount, AL",27220
"01011","Bullock, AL",23188
"01013","Butler, AL",28562
"01015","Calhoun, AL",31758
"01017","Chambers, AL",28994
"01019","Cherokee, AL",26869
"01021","Chilton, AL",28844
"01023","Choctaw, AL",30050
"01025","Clarke, AL",30810
"01027","Clay, AL",26288
"01029","Cleburne, AL",28916
"01031","Coffee, AL",36653
"01033","Colbert, AL",31743
"01035","Conecuh, AL",28222
"01037","Coosa, AL",23678
"01039","Covington, AL",29399
"01041","Crenshaw, AL",30217
"01043","Cullman, AL",30616
"01045","Dale, AL",30393
"01047","Dallas, AL",28615
"01049","DeKalb, AL",25586
"01051","Elmore, AL",33975
"01053","Escambia, AL",28227
"01055","Etowah, AL",31844
"01057","Fayette, AL",26884
"01059","Franklin, AL",26457
"01061","Geneva, AL",30047
"01063","Greene, AL",31678
"01065","Hale, AL",30458
"01067","Henry, AL",31888
"01069","Houston, AL",36330
"01071","Jackson, AL",30591
"01073","Jefferson, AL",44074
"01075","Lamar, AL",27430
"01077","Lauderdale, AL",32211
"01079","Lawrence, AL",29144
"01081","Lee, AL",29208
"01083","Limestone, AL",34250
"01085","Lowndes, AL",32176
"01087","Macon, AL",27644
"01089","Madison, AL",41601
"01091","Marengo, AL",33467
"01093","Marion, AL",26237
"01095","Marshall, AL",30543
"01097","Mobile, AL",32779
"01099","Monroe, AL",28245
"01101","Montgomery, AL",38414
"01103","Morgan, AL",32904
"01105","Perry, AL",28941
"01107","Pickens, AL",28910
"01109","Pike, AL",34269
"01111","Randolph, AL",26263
"01113","Russell, AL",31920
"01115","St. Clair, AL",32240
"01117","Shelby, AL",44734
"01119","Sumter, AL",25680
"01121","Talladega, AL",30820
"01123","Tallapoosa, AL",30899
"01125","Tuscaloosa, AL",34724
"01127","Walker, AL",33167
"01129","Washington, AL",28477
"01131","Wilcox, AL",25996
"01133","Winston, AL",25982
"02010","Aleutian Islands Census Area, AK","(NA)"
"02013","Aleutians East Borough, AK",27980
"02016","Aleutians West Census Area, AK",31845
"02020","Anchorage Municipality, AK",50958
"02050","Bethel Census Area, AK",32108
"02060","Bristol Bay Borough, AK",49727
"02068","Denali Borough, AK",60191
"02070","Dillingham Census Area, AK",40046
"02090","Fairbanks North Star Borough, AK",42626
"02100","Haines Borough, AK",68517
"02105","Hoonah-Angoon Census Area, AK",39307
"02110","Juneau City and Borough, AK",48242
"02122","Kenai Peninsula Borough, AK",41772
"02130","Ketchikan Gateway Borough, AK",51631
"02150","Kodiak Island Borough, AK",43951
"02164","Lake and Peninsula Borough, AK",37023
"02170","Matanuska-Susitna Borough, AK",41905
"02180","Nome Census Area, AK",35160
"02185","North Slope Borough, AK",48447
"02188","Northwest Arctic Borough, AK",34720
"02195","Petersburg Census Area, AK",48203
"02198","Prince of Wales-Hyder Census Area, AK",30954
"02201","Prince of Wales-Outer Ketchikan Census Area, AK","(NA)"
"02220","Sitka City and Borough, AK",44044
"02230","Skagway Municipality, AK",60683
"02231","Skagway-Yakutat-Angoon Census Area, AK","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK","(NA)"
"02240","Southeast Fairbanks Census Area, AK",44716
"02261","Valdez-Cordova Census Area, AK",45289
"02270","Wade Hampton Census Area, AK",21992
"02275","Wrangell City and Borough, AK",35250
"02280","Wrangell-Petersburg Census Area, AK","(NA)"
"02282","Yakutat City and Borough, AK",41766
"02290","Yukon-Koyukuk Census Area, AK",37259
"02901","Aleutian Islands Division, AK","(NA)"
"02903","Angoon Division, AK","(NA)"
"02904","Barrow-North Slope Division, AK","(NA)"
"02905","Bethel Division, AK","(NA)"
"02907","Bristol Bay Division, AK","(NA)"
"02908","Cordova-McCarthy Division, AK","(NA)"
"02910","Haines Division, AK","(NA)"
"02912","Kenai-Cook Inlet Division, AK","(NA)"
"02916","Kuskokwim Division, AK","(NA)"
"02919","Outer Ketchikan Division, AK","(NA)"
"02920","Prince of Wales Division, AK","(NA)"
"02921","Seward Division, AK","(NA)"
"02922","Sitka Division, AK","(NA)"
"02923","Skagway-Yakutat Division, AK","(NA)"
"02924","Southeast Fairbanks Division, AK","(NA)"
"02925","Upper Yukon Division, AK","(NA)"
"02926","Valdez-Chitina-Whittier Division, AK","(NA)"
"02928","Wrangell-Petersburg Division, AK","(NA)"
"02929","Yukon-Koyukuk Division, AK","(NA)"
"04001","Apache, AZ",25813
"04003","Cochise, AZ",35738
"04005","Coconino, AZ",34353
"04007","Gila, AZ",31846
"04009","Graham, AZ",25215
"04011","Greenlee, AZ",31333
"04012","La Paz, AZ",29053
"04013","Maricopa, AZ",38071
"04015","Mohave, AZ",26145
"04017","Navajo, AZ",25554
"04019","Pima, AZ",34961
"04021","Pinal, AZ",24287
"04023","Santa Cruz, AZ",25037
"04025","Yavapai, AZ",29490
"04027","Yuma, AZ",27091
"05001","Arkansas, AR",40173
"05003","Ashley, AR",34789
"05005","Baxter, AR",32335
"05007","Benton, AR",36744
"05009","Boone, AR",30524
"05011","Bradley, AR",30467
"05013","Calhoun, AR",28356
"05015","Carroll, AR",27121
"05017","Chicot, AR",32320
"05019","Clark, AR",30386
"05021","Clay, AR",30639
"05023","Cleburne, AR",34924
"05025","Cleveland, AR",32051
"05027","Columbia, AR",33253
"05029","Conway, AR",33021
"05031","Craighead, AR",32588
"05033","Crawford, AR",27699
"05035","Crittenden, AR",31850
"05037","Cross, AR",30939
"05039","Dallas, AR",30035
"05041","Desha, AR",33101
"05043","Drew, AR",31086
"05045","Faulkner, AR",33255
"05047","Franklin, AR",30593
"05049","Fulton, AR",26723
"05051","Garland, AR",35355
"05053","Grant, AR",32601
"05055","Greene, AR",28709
"05057","Hempstead, AR",29075
"05059","Hot Spring, AR",27724
"05061","Howard, AR",27810
"05063","Independence, AR",31088
"05065","Izard, AR",26469
"05067","Jackson, AR",31055
"05069","Jefferson, AR",31627
"05071","Johnson, AR",24551
"05073","Lafayette, AR",27125
"05075","Lawrence, AR",27323
"05077","Lee, AR",30642
"05079","Lincoln, AR",25991
"05081","Little River, AR",30182
"05083","Logan, AR",26773
"05085","Lonoke, AR",32972
"05087","Madison, AR",21921
"05089","Marion, AR",26684
"05091","Miller, AR",33539
"05093","Mississippi, AR",32741
"05095","Monroe, AR",31733
"05097","Montgomery, AR",24211
"05099","Nevada, AR",29912
"05101","Newton, AR",26127
"05103","Ouachita, AR",31006
"05105","Perry, AR",32041
"05107","Phillips, AR",31314
"05109","Pike, AR",28651
"05111","Poinsett, AR",30350
"05113","Polk, AR",24263
"05115","Pope, AR",29007
"05117","Prairie, AR",31744
"05119","Pulaski, AR",43938
"05121","Randolph, AR",27362
"05123","St. Francis, AR",26373
"05125","Saline, AR",39040
"05127","Scott, AR",23116
"05129","Searcy, AR",25926
"05131","Sebastian, AR",37052
"05133","Sevier, AR",22926
"05135","Sharp, AR",25214
"05137","Stone, AR",25411
"05139","Union, AR",42335
"05141","Van Buren, AR",29457
"05143","Washington, AR",33220
"05145","White, AR",29624
