"CA1-3 Personal income summary"
"Population (number of persons) 1/" 
"Bureau of Economic Analysis" 
"County"
"Fips","Area","2011"
"01001","Autauga, AL",55267
"01003","Baldwin, AL",186717
"01005","Barbour, AL",27119
"01007","Bibb, AL",22766
"01009","Blount, AL",57677
"01011","Bullock, AL",10542
"01013","Butler, AL",20650
"01015","Calhoun, AL",117797
"01017","Chambers, AL",33939
"01019","Cherokee, AL",26057
"01021","Chilton, AL",43895
"01023","Choctaw, AL",13609
"01025","Clarke, AL",25695
"01027","Clay, AL",13862
"01029","Cleburne, AL",14835
"01031","Coffee, AL",50526
"01033","Colbert, AL",54512
"01035","Conecuh, AL",13105
"01037","Coosa, AL",10713
"01039","Covington, AL",38058
"01041","Crenshaw, AL",13911
"01043","Cullman, AL",80536
"01045","Dale, AL",50044
"01047","Dallas, AL",43332
"01049","DeKalb, AL",71375
"01051","Elmore, AL",80162
"01053","Escambia, AL",38095
"01055","Etowah, AL",104303
"01057","Fayette, AL",17182
"01059","Franklin, AL",31884
"01061","Geneva, AL",26781
"01063","Greene, AL",8921
"01065","Hale, AL",15421
"01067","Henry, AL",17412
"01069","Houston, AL",102369
"01071","Jackson, AL",53291
"01073","Jefferson, AL",658931
"01075","Lamar, AL",14311
"01077","Lauderdale, AL",92781
"01079","Lawrence, AL",34117
"01081","Lee, AL",143468
"01083","Limestone, AL",85369
"01085","Lowndes, AL",11147
"01087","Macon, AL",21182
"01089","Madison, AL",340111
"01091","Marengo, AL",20692
"01093","Marion, AL",30663
"01095","Marshall, AL",94166
"01097","Mobile, AL",412577
"01099","Monroe, AL",22760
"01101","Montgomery, AL",232032
"01103","Morgan, AL",119953
"01105","Perry, AL",10373
"01107","Pickens, AL",19349
"01109","Pike, AL",32915
"01111","Randolph, AL",22787
"01113","Russell, AL",54572
"01115","St. Clair, AL",84398
"01117","Shelby, AL",197936
"01119","Sumter, AL",13478
"01121","Talladega, AL",81664
"01123","Tallapoosa, AL",41623
"01125","Tuscaloosa, AL",197211
"01127","Walker, AL",66661
"01129","Washington, AL",17344
"01131","Wilcox, AL",11482
"01133","Winston, AL",24327
"02010","Aleutian Islands Census Area, AK","(NA)"
"02013","Aleutians East Borough, AK",3172
"02016","Aleutians West Census Area, AK",5504
"02020","Anchorage Municipality, AK",295570
"02050","Bethel Census Area, AK",17416
"02060","Bristol Bay Borough, AK",1030
"02068","Denali Borough, AK",1855
"02070","Dillingham Census Area, AK",4975
"02090","Fairbanks North Star Borough, AK",99192
"02100","Haines Borough, AK",2554
"02105","Hoonah-Angoon Census Area, AK",2112
"02110","Juneau City and Borough, AK",32164
"02122","Kenai Peninsula Borough, AK",56293
"02130","Ketchikan Gateway Borough, AK",13593
"02150","Kodiak Island Borough, AK",13872
"02164","Lake and Peninsula Borough, AK",1668
"02170","Matanuska-Susitna Borough, AK",91946
"02180","Nome Census Area, AK",9856
"02185","North Slope Borough, AK",9503
"02188","Northwest Arctic Borough, AK",7733
"02195","Petersburg Census Area, AK",3838
"02198","Prince of Wales-Hyder Census Area, AK",5737
"02201","Prince of Wales-Outer Ketchikan Census Area, AK","(NA)"
"02220","Sitka City and Borough, AK",8952
"02230","Skagway Municipality, AK",935
"02231","Skagway-Yakutat-Angoon Census Area, AK","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK","(NA)"
"02240","Southeast Fairbanks Census Area, AK",7132
"02261","Valdez-Cordova Census Area, AK",9770
"02270","Wade Hampton Census Area, AK",7662
"02275","Wrangell City and Borough, AK",2382
"02280","Wrangell-Petersburg Census Area, AK","(NA)"
"02282","Yakutat City and Borough, AK",646
"02290","Yukon-Koyukuk Census Area, AK",5656
"02901","Aleutian Islands Division, AK","(NA)"
"02903","Angoon Division, AK","(NA)"
"02904","Barrow-North Slope Division, AK","(NA)"
"02905","Bethel Division, AK","(NA)"
"02907","Bristol Bay Division, AK","(NA)"
"02908","Cordova-McCarthy Division, AK","(NA)"
"02910","Haines Division, AK","(NA)"
"02912","Kenai-Cook Inlet Division, AK","(NA)"
"02916","Kuskokwim Division, AK","(NA)"
"02919","Outer Ketchikan Division, AK","(NA)"
"02920","Prince of Wales Division, AK","(NA)"
"02921","Seward Division, AK","(NA)"
"02922","Sitka Division, AK","(NA)"
"02923","Skagway-Yakutat Division, AK","(NA)"
"02924","Southeast Fairbanks Division, AK","(NA)"
"02925","Upper Yukon Division, AK","(NA)"
"02926","Valdez-Chitina-Whittier Division, AK","(NA)"
"02928","Wrangell-Petersburg Division, AK","(NA)"
"02929","Yukon-Koyukuk Division, AK","(NA)"
"04001","Apache, AZ",72401
"04003","Cochise, AZ",133289
"04005","Coconino, AZ",134511
"04007","Gila, AZ",53144
"04009","Graham, AZ",37147
"04011","Greenlee, AZ",8606
"04012","La Paz, AZ",20419
"04013","Maricopa, AZ",3880244
"04015","Mohave, AZ",202351
"04017","Navajo, AZ",107398
"04019","Pima, AZ",989569
"04021","Pinal, AZ",382992
"04023","Santa Cruz, AZ",47676
"04025","Yavapai, AZ",211888
"04027","Yuma, AZ",200870
"05001","Arkansas, AR",18892
"05003","Ashley, AR",21692
"05005","Baxter, AR",41536
"05007","Benton, AR",227556
"05009","Boone, AR",37051
"05011","Bradley, AR",11482
"05013","Calhoun, AR",5144
"05015","Carroll, AR",27512
"05017","Chicot, AR",11721
"05019","Clark, AR",22858
"05021","Clay, AR",15880
"05023","Cleburne, AR",25901
"05025","Cleveland, AR",8672
"05027","Columbia, AR",24401
"05029","Conway, AR",21270
"05031","Craighead, AR",98315
"05033","Crawford, AR",61944
"05035","Crittenden, AR",50525
"05037","Cross, AR",17781
"05039","Dallas, AR",8072
"05041","Desha, AR",12763
"05043","Drew, AR",18467
"05045","Faulkner, AR",116342
"05047","Franklin, AR",18047
"05049","Fulton, AR",12296
"05051","Garland, AR",97124
"05053","Grant, AR",17988
"05055","Greene, AR",42720
"05057","Hempstead, AR",22541
"05059","Hot Spring, AR",32881
"05061","Howard, AR",13886
"05063","Independence, AR",36861
"05065","Izard, AR",13419
"05067","Jackson, AR",17866
"05069","Jefferson, AR",76246
"05071","Johnson, AR",25742
"05073","Lafayette, AR",7516
"05075","Lawrence, AR",17178
"05077","Lee, AR",10326
"05079","Lincoln, AR",14006
"05081","Little River, AR",12996
"05083","Logan, AR",22290
"05085","Lonoke, AR",69341
"05087","Madison, AR",15776
"05089","Marion, AR",16573
"05091","Miller, AR",43759
"05093","Mississippi, AR",45966
"05095","Monroe, AR",8075
"05097","Montgomery, AR",9433
"05099","Nevada, AR",9017
"05101","Newton, AR",8264
"05103","Ouachita, AR",25880
"05105","Perry, AR",10405
"05107","Phillips, AR",21442
"05109","Pike, AR",11259
"05111","Poinsett, AR",24514
"05113","Polk, AR",20610
"05115","Pope, AR",62331
"05117","Prairie, AR",8618
"05119","Pulaski, AR",386299
"05121","Randolph, AR",18017
"05123","St. Francis, AR",27970
"05125","Saline, AR",109526
"05127","Scott, AR",11272
"05129","Searcy, AR",8036
"05131","Sebastian, AR",127127
"05133","Sevier, AR",17293
"05135","Sharp, AR",17380
"05137","Stone, AR",12603
"05139","Union, AR",41427
"05141","Van Buren, AR",17083
"05143","Washington, AR",207521
"05145","White, AR",78167
"05147","Woodruff, AR",7229
"05149","Yell, AR",22060
"06001","Alameda, CA",1529875
"06003","Alpine, CA",1102
"06005","Amador, CA",37953
"06007","Butte, CA",220266
"06009","Calaveras, CA",45052
"06011","Colusa, CA",21549
"06013","Contra Costa, CA",1066096
"06015","Del Norte, CA",28659
"06017","El Dorado, CA",180938
"06019","Fresno, CA",942904
"06021","Glenn, CA",28128
"06023","Humboldt, CA",134761
"06025","Imperial, CA",177057
"06027","Inyo, CA",18478
"06029","Kern, CA",851710
"06031","Kings, CA",153765
"06033","Lake, CA",64323
"06035","Lassen, CA",34200
"06037","Los Angeles, CA",9889056
"06039","Madera, CA",152925
"06041","Marin, CA",255031
"06043","Mariposa, CA",18191
"06045","Mendocino, CA",87553
"06047","Merced, CA",259898
"06049","Modoc, CA",9517
"06051","Mono, CA",14309
"06053","Monterey, CA",421898
"06055","Napa, CA",138088
"06057","Nevada, CA",98612
"06059","Orange, CA",3055745
"06061","Placer, CA",357138
"06063","Plumas, CA",19765
"06065","Riverside, CA",2239620
"06067","Sacramento, CA",1436105
"06069","San Benito, CA",56072
"06071","San Bernardino, CA",2065377
"06073","San Diego, CA",3140069
"06075","San Francisco, CA",812826
"06077","San Joaquin, CA",696214
"06079","San Luis Obispo, CA",271969
"06081","San Mateo, CA",727209
"06083","Santa Barbara, CA",426878
"06085","Santa Clara, CA",1809378
"06087","Santa Cruz, CA",264298
"06089","Shasta, CA",177774
"06091","Sierra, CA",3113
"06093","Siskiyou, CA",44507
"06095","Solano, CA",416471
"06097","Sonoma, CA",488116
"06099","Stanislaus, CA",518522
"06101","Sutter, CA",94919
"06103","Tehama, CA",63601
"06105","Trinity, CA",13723
"06107","Tulare, CA",449253
"06109","Tuolumne, CA",54953
"06111","Ventura, CA",831771
"06113","Yolo, CA",202054
"06115","Yuba, CA",72578
"08001","Adams, CO",451443
"08003","Alamosa, CO",15710
"08005","Arapahoe, CO",584948
"08007","Archuleta, CO",12013
"08009","Baca, CO",3795
"08011","Bent, CO",6250
"08013","Boulder, CO",299378
"08014","Broomfield, CO",57352
"08015","Chaffee, CO",17932
"08017","Cheyenne, CO",1876
"08019","Clear Creek, CO",9012
"08021","Conejos, CO",8291
"08023","Costilla, CO",3662
"08025","Crowley, CO",5736
"08027","Custer, CO",4205
"08029","Delta, CO",30451
"08031","Denver, CO",619968
"08033","Dolores, CO",2056
"08035","Douglas, CO",292167
"08037","Eagle, CO",51854
"08039","Elbert, CO",23174
"08041","El Paso, CO",636963
"08043","Fremont, CO",47347
"08045","Garfield, CO",56270
"08047","Gilpin, CO",5467
"08049","Grand, CO",14548
"08051","Gunnison, CO",15408
"08053","Hinsdale, CO",830
"08055","Huerfano, CO",6520
"08057","Jackson, CO",1370
"08059","Jefferson, CO",539884
"08061","Kiowa, CO",1433
"08063","Kit Carson, CO",8142
"08065","Lake, CO",7427
"08067","La Plata, CO",51917
"08069","Larimer, CO",305525
"08071","Las Animas, CO",15037
"08073","Lincoln, CO",5454
"08075","Logan, CO",22619
"08077","Mesa, CO",147083
"08079","Mineral, CO",708
"08081","Moffat, CO",13451
"08083","Montezuma, CO",25442
"08085","Montrose, CO",41011
"08087","Morgan, CO",28175
"08089","Otero, CO",18865
"08091","Ouray, CO",4356
"08093","Park, CO",16089
"08095","Phillips, CO",4399
"08097","Pitkin, CO",17102
"08099","Prowers, CO",12549
"08101","Pueblo, CO",160545
"08103","Rio Blanco, CO",6782
"08105","Rio Grande, CO",11956
"08107","Routt, CO",23239
"08109","Saguache, CO",6228
"08111","San Juan, CO",692
"08113","San Miguel, CO",7490
"08115","Sedgwick, CO",2364
"08117","Summit, CO",27972
"08119","Teller, CO",23356
"08121","Washington, CO",4770
"08123","Weld, CO",258638
"08125","Yuma, CO",10100
"09001","Fairfield, CT",925899
"09003","Hartford, CT",894705
"09005","Litchfield, CT",188789
"09007","Middlesex, CT",166043
"09009","New Haven, CT",861113
"09011","New London, CT",273502
"09013","Tolland, CT",152507
"09015","Windham, CT",118151
"10001","Kent, DE",164834
"10003","New Castle, DE",541971
"10005","Sussex, DE",200330
"11001","District of Columbia, DC",617996
"12001","Alachua, FL",249365
"12003","Baker, FL",27154
"12005","Bay, FL",169856
"12007","Bradford, FL",28255
"12009","Brevard, FL",543566
"12011","Broward, FL",1780172
"12013","Calhoun, FL",14750
"12015","Charlotte, FL",160511
"12017","Citrus, FL",140031
"12019","Clay, FL",192370
"12021","Collier, FL",328134
"12023","Columbia, FL",67485
"12027","DeSoto, FL",34894
"12029","Dixie, FL",16486
"12031","Duval, FL",870709
"12033","Escambia, FL",299114
"12035","Flagler, FL",97376
"12037","Franklin, FL",11596
"12039","Gadsden, FL",46151
"12041","Gilchrist, FL",17004
"12043","Glades, FL",12635
"12045","Gulf, FL",15844
"12047","Hamilton, FL",14671
"12049","Hardee, FL",27887
"12051","Hendry, FL",39089
"12053","Hernando, FL",173094
"12055","Highlands, FL",98630
"12057","Hillsborough, FL",1267775
"12059","Holmes, FL",19873
"12061","Indian River, FL",138894
"12063","Jackson, FL",49292
"12065","Jefferson, FL",14658
"12067","Lafayette, FL",8942
"12069","Lake, FL",301019
"12071","Lee, FL",631330
"12073","Leon, FL",277971
"12075","Levy, FL",40156
"12077","Liberty, FL",8314
"12079","Madison, FL",19115
"12081","Manatee, FL",327142
"12083","Marion, FL",332529
"12085","Martin, FL",147495
"12086","Miami-Dade, FL",2554766
"12087","Monroe, FL",73873
"12089","Nassau, FL",74195
"12091","Okaloosa, FL",183482
"12093","Okeechobee, FL",40140
"12095","Orange, FL",1169107
"12097","Osceola, FL",276163
"12099","Palm Beach, FL",1335187
"12101","Pasco, FL",466457
"12103","Pinellas, FL",917398
"12105","Polk, FL",609492
"12107","Putnam, FL",74041
"12109","St. Johns, FL",195823
"12111","St. Lucie, FL",280379
"12113","Santa Rosa, FL",154104
"12115","Sarasota, FL",382213
"12117","Seminole, FL",425071
"12119","Sumter, FL",97756
"12121","Suwannee, FL",41972
"12123","Taylor, FL",22691
"12125","Union, FL",15388
"12127","Volusia, FL",494804
"12129","Wakulla, FL",30978
"12131","Walton, FL",55793
"12133","Washington, FL",24935
"13001","Appling, GA",18420
"13003","Atkinson, GA",8413
"13005","Bacon, GA",11203
"13007","Baker, GA",3085
"13009","Baldwin, GA",44417
"13011","Banks, GA",18251
"13013","Barrow, GA",69912
"13015","Bartow, GA",100421
"13017","Ben Hill, GA",17673
"13019","Berrien, GA",19372
"13021","Bibb, GA",156433
"13023","Bleckley, GA",13290
"13025","Brantley, GA",18367
"13027","Brooks, GA",15889
"13029","Bryan, GA",31377
"13031","Bulloch, GA",72881
"13033","Burke, GA",23504
"13035","Butts, GA",23504
"13037","Calhoun, GA",6740
"13039","Camden, GA",50410
"13043","Candler, GA",11276
"13045","Carroll, GA",111159
"13047","Catoosa, GA",64530
"13049","Charlton, GA",13422
"13051","Chatham, GA",271544
"13053","Chattahoochee, GA",11749
"13055","Chattooga, GA",25736
"13057","Cherokee, GA",218286
"13059","Clarke, GA",117344
"13061","Clay, GA",3111
"13063","Clayton, GA",261532
"13065","Clinch, GA",6777
"13067","Cobb, GA",697553
"13069","Coffee, GA",42864
"13071","Colquitt, GA",45645
"13073","Columbia, GA",128112
"13075","Cook, GA",17125
"13077","Coweta, GA",129629
"13079","Crawford, GA",12567
"13081","Crisp, GA",23710
"13083","Dade, GA",16570
"13085","Dawson, GA",22459
"13087","Decatur, GA",27694
"13089","DeKalb, GA",699893
"13091","Dodge, GA",21894
"13093","Dooly, GA",14587
"13095","Dougherty, GA",94788
"13097","Douglas, GA",133355
"13099","Early, GA",10778
"13101","Echols, GA",4129
"13103","Effingham, GA",52655
"13105","Elbert, GA",19886
"13107","Emanuel, GA",22567
"13109","Evans, GA",11065
"13111","Fannin, GA",23708
"13113","Fayette, GA",107784
"13115","Floyd, GA",95989
"13117","Forsyth, GA",181840
"13119","Franklin, GA",21864
"13121","Fulton, GA",949599
"13123","Gilmer, GA",28324
"13125","Glascock, GA",3084
"13127","Glynn, GA",80386
"13129","Gordon, GA",55621
"13131","Grady, GA",25255
"13133","Greene, GA",16031
"13135","Gwinnett, GA",824941
"13137","Habersham, GA",43279
"13139","Hall, GA",183052
"13141","Hancock, GA",9400
"13143","Haralson, GA",28638
"13145","Harris, GA",32265
"13147","Hart, GA",25305
"13149","Heard, GA",11744
"13151","Henry, GA",207360
"13153","Houston, GA",143925
