"CA1-3 Personal income summary"
"Personal income (thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"Fips","Area","2011"
"01001","Autauga, AL",1804871
"01003","Baldwin, AL",7099655
"01005","Barbour, AL",726972
"01007","Bibb, AL",550485
"01009","Blount, AL",1569973
"01011","Bullock, AL",244451
"01013","Butler, AL",589813
"01015","Calhoun, AL",3740976
"01017","Chambers, AL",984014
"01019","Cherokee, AL",700136
"01021","Chilton, AL",1266124
"01023","Choctaw, AL",408956
"01025","Clarke, AL",791663
"01027","Clay, AL",364403
"01029","Cleburne, AL",428962
"01031","Coffee, AL",1851952
"01033","Colbert, AL",1730377
"01035","Conecuh, AL",369845
"01037","Coosa, AL",253667
"01039","Covington, AL",1118870
"01041","Crenshaw, AL",420346
"01043","Cullman, AL",2465681
"01045","Dale, AL",1521003
"01047","Dallas, AL",1239945
"01049","DeKalb, AL",1826224
"01051","Elmore, AL",2723483
"01053","Escambia, AL",1075304
"01055","Etowah, AL",3321447
"01057","Fayette, AL",461917
"01059","Franklin, AL",843544
"01061","Geneva, AL",804696
"01063","Greene, AL",282595
"01065","Hale, AL",469686
"01067","Henry, AL",555240
"01069","Houston, AL",3719061
"01071","Jackson, AL",1630235
"01073","Jefferson, AL",29041963
"01075","Lamar, AL",392553
"01077","Lauderdale, AL",2988554
"01079","Lawrence, AL",994291
"01081","Lee, AL",4190433
"01083","Limestone, AL",2923858
"01085","Lowndes, AL",358664
"01087","Macon, AL",585550
"01089","Madison, AL",14149126
"01091","Marengo, AL",692495
"01093","Marion, AL",804490
"01095","Marshall, AL",2876090
"01097","Mobile, AL",13523711
"01099","Monroe, AL",642848
"01101","Montgomery, AL",8913225
"01103","Morgan, AL",3946954
"01105","Perry, AL",300205
"01107","Pickens, AL",559387
"01109","Pike, AL",1127970
"01111","Randolph, AL",598458
"01113","Russell, AL",1741956
"01115","St. Clair, AL",2721015
"01117","Shelby, AL",8854507
"01119","Sumter, AL",346110
"01121","Talladega, AL",2516897
"01123","Tallapoosa, AL",1286125
"01125","Tuscaloosa, AL",6848028
"01127","Walker, AL",2210966
"01129","Washington, AL",493907
"01131","Wilcox, AL",298491
"01133","Winston, AL",632067
"02010","Aleutian Islands Census Area, AK","(NA)"
"02013","Aleutians East Borough, AK",88754
"02016","Aleutians West Census Area, AK",175274
"02020","Anchorage Municipality, AK",15061531
"02050","Bethel Census Area, AK",559198
"02060","Bristol Bay Borough, AK",51219
