"CA34 Wage and salary summary"
"Average wage per job (dollars) 1/" 
"Bureau of Economic Analysis" 
"County"
"Fips","Area","2011"
"01001","Autauga, AL",32457
"01003","Baldwin, AL",31563
"01005","Barbour, AL",31024
"01007","Bibb, AL",33795
"01009","Blount, AL",29318
"01011","Bullock, AL",28834
"01013","Butler, AL",29767
"01015","Calhoun, AL",37131
"01017","Chambers, AL",30677
"01019","Cherokee, AL",30012
"01021","Chilton, AL",30788
"01023","Choctaw, AL",42704
"01025","Clarke, AL",33650
"01027","Clay, AL",28299
"01029","Cleburne, AL",34789
"01031","Coffee, AL",29944
"01033","Colbert, AL",40085
"01035","Conecuh, AL",31211
"01037","Coosa, AL",32719
"01039","Covington, AL",31250
"01041","Crenshaw, AL",30923
"01043","Cullman, AL",33043
"01045","Dale, AL",53281
"01047","Dallas, AL",32494
"01049","DeKalb, AL",30434
"01051","Elmore, AL",31646
"01053","Escambia, AL",34021
"01055","Etowah, AL",33144
"01057","Fayette, AL",27863
"01059","Franklin, AL",30218
"01061","Geneva, AL",28059
"01063","Greene, AL",32599
"01065","Hale, AL",30479
"01067","Henry, AL",33668
"01069","Houston, AL",35561
"01071","Jackson, AL",32430
"01073","Jefferson, AL",47531
"01075","Lamar, AL",32135
"01077","Lauderdale, AL",29705
"01079","Lawrence, AL",39311
"01081","Lee, AL",32764
"01083","Limestone, AL",39972
"01085","Lowndes, AL",37778
"01087","Macon, AL",36004
"01089","Madison, AL",52851
"01091","Marengo, AL",33604
"01093","Marion, AL",31265
"01095","Marshall, AL",30924
"01097","Mobile, AL",41722
"01099","Monroe, AL",36617
"01101","Montgomery, AL",42413
"01103","Morgan, AL",38512
"01105","Perry, AL",28446
"01107","Pickens, AL",30809
"01109","Pike, AL",34346
"01111","Randolph, AL",28930
"01113","Russell, AL",32546
"01115","St. Clair, AL",32629
"01117","Shelby, AL",44151
"01119","Sumter, AL",31242
"01121","Talladega, AL",38339
"01123","Tallapoosa, AL",31229
"01125","Tuscaloosa, AL",40214
"01127","Walker, AL",32885
"01129","Washington, AL",50119
"01131","Wilcox, AL",36897
"01133","Winston, AL",28838
"02010","Aleutian Islands Census Area, AK","(NA)"
"02013","Aleutians East Borough, AK",34485
"02016","Aleutians West Census Area, AK",43262
"02020","Anchorage Municipality, AK",53301
"02050","Bethel Census Area, AK",39239
"02060","Bristol Bay Borough, AK",42955
"02068","Denali Borough, AK",48430
"02070","Dillingham Census Area, AK",39910
"02090","Fairbanks North Star Borough, AK",50027
"02100","Haines Borough, AK",34221
"02105","Hoonah-Angoon Census Area, AK",33199
"02110","Juneau City and Borough, AK",47795
"02122","Kenai Peninsula Borough, AK",43650
"02130","Ketchikan Gateway Borough, AK",43427
"02150","Kodiak Island Borough, AK",44163
"02164","Lake and Peninsula Borough, AK",40176
"02170","Matanuska-Susitna Borough, AK",38257
"02180","Nome Census Area, AK",43515
"02185","North Slope Borough, AK",93708
"02188","Northwest Arctic Borough, AK",56467
"02195","Petersburg Census Area, AK",38234
"02198","Prince of Wales-Hyder Census Area, AK",38309
"02201","Prince of Wales-Outer Ketchikan Census Area, AK","(NA)"
"02220","Sitka City and Borough, AK",42349
"02230","Skagway Municipality, AK",41178
"02231","Skagway-Yakutat-Angoon Census Area, AK","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK","(NA)"
"02240","Southeast Fairbanks Census Area, AK",62548
"02261","Valdez-Cordova Census Area, AK",49158
"02270","Wade Hampton Census Area, AK",25817
"02275","Wrangell City and Borough, AK",36287
"02280","Wrangell-Petersburg Census Area, AK","(NA)"
"02282","Yakutat City and Borough, AK",35772
"02290","Yukon-Koyukuk Census Area, AK",41591
"02901","Aleutian Islands Division, AK","(NA)"
"02903","Angoon Division, AK","(NA)"
"02904","Barrow-North Slope Division, AK","(NA)"
"02905","Bethel Division, AK","(NA)"
"02907","Bristol Bay Division, AK","(NA)"
"02908","Cordova-McCarthy Division, AK","(NA)"
"02910","Haines Division, AK","(NA)"
"02912","Kenai-Cook Inlet Division, AK","(NA)"
"02916","Kuskokwim Division, AK","(NA)"
"02919","Outer Ketchikan Division, AK","(NA)"
"02920","Prince of Wales Division, AK","(NA)"
