"CA34 Wage and salary summary"
"Wage and salary employment (number of jobs)" 
"Bureau of Economic Analysis" 
"County"
"Fips","Area","2011"
"01001","Autauga, AL",12059
"01003","Baldwin, AL",65785
"01005","Barbour, AL",9858
"01007","Bibb, AL",4568
"01009","Blount, AL",9527
"01011","Bullock, AL",3113
"01013","Butler, AL",7165
"01015","Calhoun, AL",50266
"01017","Chambers, AL",8864
"01019","Cherokee, AL",5336
"01021","Chilton, AL",9380
"01023","Choctaw, AL",3991
"01025","Clarke, AL",9008
"01027","Clay, AL",3955
"01029","Cleburne, AL",2694
"01031","Coffee, AL",15957
"01033","Colbert, AL",23640
"01035","Conecuh, AL",3587
"01037","Coosa, AL",1509
"01039","Covington, AL",13688
"01041","Crenshaw, AL",4056
"01043","Cullman, AL",27541
"01045","Dale, AL",23849
"01047","Dallas, AL",14926
"01049","DeKalb, AL",22068
"01051","Elmore, AL",19907
"01053","Escambia, AL",13523
"01055","Etowah, AL",37254
"01057","Fayette, AL",4369
"01059","Franklin, AL",11058
"01061","Geneva, AL",5732
"01063","Greene, AL",2069
"01065","Hale, AL",3336
"01067","Henry, AL",3770
"01069","Houston, AL",50557
"01071","Jackson, AL",17264
"01073","Jefferson, AL",365141
"01075","Lamar, AL",3626
"01077","Lauderdale, AL",33106
"01079","Lawrence, AL",6741
"01081","Lee, AL",54200
"01083","Limestone, AL",23028
"01085","Lowndes, AL",2986
"01087","Macon, AL",5701
"01089","Madison, AL",194673
"01091","Marengo, AL",7466
"01093","Marion, AL",10037
"01095","Marshall, AL",36065
"01097","Mobile, AL",183691
"01099","Monroe, AL",7262
"01101","Montgomery, AL",141829
"01103","Morgan, AL",49448
"01105","Perry, AL",2727
"01107","Pickens, AL",3907
"01109","Pike, AL",14984
"01111","Randolph, AL",4963
"01113","Russell, AL",14220
"01115","St. Clair, AL",18234
"01117","Shelby, AL",80499
"01119","Sumter, AL",3678
"01121","Talladega, AL",28618
"01123","Tallapoosa, AL",13451
"01125","Tuscaloosa, AL",92051
"01127","Walker, AL",20015
"01129","Washington, AL",3928
"01131","Wilcox, AL",2964
"01133","Winston, AL",7581
"02010","Aleutian Islands Census Area, AK","(NA)"
"02013","Aleutians East Borough, AK",2003
"02016","Aleutians West Census Area, AK",3885
"02020","Anchorage Municipality, AK",169781
"02050","Bethel Census Area, AK",7045
"02060","Bristol Bay Borough, AK",1414
"02068","Denali Borough, AK",1876
"02070","Dillingham Census Area, AK",2653
"02090","Fairbanks North Star Borough, AK",49075
"02100","Haines Borough, AK",1064
"02105","Hoonah-Angoon Census Area, AK",713
"02110","Juneau City and Borough, AK",18765
"02122","Kenai Peninsula Borough, AK",20204
"02130","Ketchikan Gateway Borough, AK",7674
"02150","Kodiak Island Borough, AK",7551
"02164","Lake and Peninsula Borough, AK",784
"02170","Matanuska-Susitna Borough, AK",21762
"02180","Nome Census Area, AK",3895
"02185","North Slope Borough, AK",13981
"02188","Northwest Arctic Borough, AK",2950
"02195","Petersburg Census Area, AK",1674
"02198","Prince of Wales-Hyder Census Area, AK",1964
"02201","Prince of Wales-Outer Ketchikan Census Area, AK","(NA)"
"02220","Sitka City and Borough, AK",4577
"02230","Skagway Municipality, AK",681
"02231","Skagway-Yakutat-Angoon Census Area, AK","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK","(NA)"
"02240","Southeast Fairbanks Census Area, AK",2789
"02261","Valdez-Cordova Census Area, AK",4929
"02270","Wade Hampton Census Area, AK",2409
"02275","Wrangell City and Borough, AK",891
"02280","Wrangell-Petersburg Census Area, AK","(NA)"
"02282","Yakutat City and Borough, AK",324
"02290","Yukon-Koyukuk Census Area, AK",2356
"02901","Aleutian Islands Division, AK","(NA)"
"02903","Angoon Division, AK","(NA)"
"02904","Barrow-North Slope Division, AK","(NA)"
"02905","Bethel Division, AK","(NA)"
"02907","Bristol Bay Division, AK","(NA)"
"02908","Cordova-McCarthy Division, AK","(NA)"
"02910","Haines Division, AK","(NA)"
"02912","Kenai-Cook Inlet Division, AK","(NA)"
"02916","Kuskokwim Division, AK","(NA)"
"02919","Outer Ketchikan Division, AK","(NA)"
"02920","Prince of Wales Division, AK","(NA)"
"02921","Seward Division, AK","(NA)"
"02922","Sitka Division, AK","(NA)"
"02923","Skagway-Yakutat Division, AK","(NA)"
"02924","Southeast Fairbanks Division, AK","(NA)"
"02925","Upper Yukon Division, AK","(NA)"
"02926","Valdez-Chitina-Whittier Division, AK","(NA)"
"02928","Wrangell-Petersburg Division, AK","(NA)"
"02929","Yukon-Koyukuk Division, AK","(NA)"
"04001","Apache, AZ",19708
"04003","Cochise, AZ",44873
"04005","Coconino, AZ",59802
"04007","Gila, AZ",14658
"04009","Graham, AZ",8908
"04011","Greenlee, AZ",3691
"04012","La Paz, AZ",5666
"04013","Maricopa, AZ",1714034
"04015","Mohave, AZ",46996
"04017","Navajo, AZ",27565
"04019","Pima, AZ",370634
