"CA1-3 Personal income summary"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"Fips","Area","2009","2010","2011"
"01001","Autauga, AL",29981,31371,32657
"01003","Baldwin, AL",34260,36311,38024
"01005","Barbour, AL",25075,26295,26807
"01007","Bibb, AL",22351,23379,24180
"01009","Blount, AL",25915,26558,27220
"01011","Bullock, AL",21315,22279,23188
"01013","Butler, AL",26779,27880,28562
"01015","Calhoun, AL",30055,30775,31758
"01017","Chambers, AL",25753,27352,28994
"01019","Cherokee, AL",25502,26354,26869
"01021","Chilton, AL",26650,27653,28844
"01023","Choctaw, AL",27848,29413,30050
"01025","Clarke, AL",28856,30142,30810
"01027","Clay, AL",25802,26351,26288
"01029","Cleburne, AL",27168,28291,28916
"01031","Coffee, AL",34568,35732,36653
"01033","Colbert, AL",29561,30990,31743
"01035","Conecuh, AL",26185,27637,28222
"01037","Coosa, AL",23458,22576,23678
"01039","Covington, AL",27769,28977,29399
"01041","Crenshaw, AL",29357,30721,30217
"01043","Cullman, AL",29435,30416,30616
"01045","Dale, AL",29221,29574,30393
"01047","Dallas, AL",26603,27598,28615
"01049","DeKalb, AL",25446,26340,25586
"01051","Elmore, AL",31693,32870,33975
"01053","Escambia, AL",25107,26864,28227
"01055","Etowah, AL",29602,30949,31844
"01057","Fayette, AL",25634,26283,26884
"01059","Franklin, AL",25098,26257,26457
"01061","Geneva, AL",29113,29545,30047
"01063","Greene, AL",29316,30170,31678
"01065","Hale, AL",28672,29278,30458
"01067","Henry, AL",27987,30514,31888
"01069","Houston, AL",33533,35173,36330
"01071","Jackson, AL",28297,29901,30591
"01073","Jefferson, AL",40399,42256,44074
"01075","Lamar, AL",24695,26018,27430
"01077","Lauderdale, AL",29545,31137,32211
"01079","Lawrence, AL",27844,28292,29144
"01081","Lee, AL",27398,28188,29208
"01083","Limestone, AL",30970,32904,34250
"01085","Lowndes, AL",29646,31498,32176
"01087","Macon, AL",26212,26556,27644
"01089","Madison, AL",38985,40278,41601
"01091","Marengo, AL",30144,32207,33467
"01093","Marion, AL",25328,25862,26237
"01095","Marshall, AL",29474,30303,30543
"01097","Mobile, AL",30222,31515,32779
"01099","Monroe, AL",26120,27767,28245
"01101","Montgomery, AL",36979,37506,38414
"01103","Morgan, AL",31294,32059,32904
"01105","Perry, AL",25695,27737,28941
"01107","Pickens, AL",27349,27758,28910
"01109","Pike, AL",31093,33579,34269
"01111","Randolph, AL",25186,26178,26263
"01113","Russell, AL",28673,30582,31920
"01115","St. Clair, AL",29415,30665,32240
"01117","Shelby, AL",41503,42581,44734
"01119","Sumter, AL",23561,24893,25680
"01121","Talladega, AL",28392,29784,30820
"01123","Tallapoosa, AL",28812,30044,30899
"01125","Tuscaloosa, AL",32069,33598,34724
"01127","Walker, AL",31228,32182,33167
"01129","Washington, AL",26016,27459,28477
"01131","Wilcox, AL",23328,25166,25996
"01133","Winston, AL",24897,25598,25982
"02010","Aleutian Islands Census Area, AK","(NA)","(NA)","(NA)"
"02013","Aleutians East Borough, AK",25790,26188,27980
"02016","Aleutians West Census Area, AK",28354,28923,31845
"02020","Anchorage Municipality, AK",47540,48820,50958
"02050","Bethel Census Area, AK",30417,31084,32108
"02060","Bristol Bay Borough, AK",46761,48925,49727
"02068","Denali Borough, AK",55476,57019,60191
"02070","Dillingham Census Area, AK",37365,38411,40046
"02090","Fairbanks North Star Borough, AK",39955,39898,42626
"02100","Haines Borough, AK",57726,66347,68517
