LocAddState,MktName,LocAddSt,LocAddCity,LocAddZip,x1,y1,Location
Alabama,RiverchaseUMC Farmer's Market,1953 Old Hwy 31,Hoover,35244,-86.9143861111,33.3732444444,"1953 Old Hwy 31
Hoover, Alabama 35244
(33.3732444444, -86.9143861111)"
Alabama,Trussville Fresh  Market,North Mall in Trussville,Trussville,35173,-86.60769,33.62966,"North Mall in Trussville
Trussville, Alabama 35173
(33.62966, -86.60769)"
Alabama,Historic Langdale Mill Farmers Market,6000-20th Avenue,Valley,36854,-85.17014,32.81527,"6000-20th Avenue
Valley, Alabama 36854
(32.81527, -85.17014)"
Alabama,Prattville Farmers Market,Prattville Square Shopping Center parking lot,Prattville,36067,-86.5013046265,32.4800872803,"Prattville Square Shopping Center parking lot
Prattville, Alabama 36067
(32.4800872803, -86.5013046265)"
Alabama,Florence/Lauderdale County Farmers Market,Corner of Chisholm Road & Cox Creek Parkway,Florence,35631,-87.6375274658,34.8932876587,"Corner of Chisholm Road & Cox Creek Parkway
Florence, Alabama 35631
(34.8932876587, -87.6375274658)"
Alabama,Lowndes County Farmers Market,Highway 21 South,Hayneville,36040,-86.681137085,32.1887359619,"Highway 21 South
Hayneville, Alabama 36040
(32.1887359619, -86.681137085)"
Alabama,Tuscaloosa  County Truck Growers Association,2407 Jack Warner Parkway,Tuscaloosa,35403,-87.5710527778,33.2117944444,"2407 Jack Warner Parkway
Tuscaloosa, Alabama 35403
(33.2117944444, -87.5710527778)"
Alabama,Opp Farmers Market,Highway 331,Opp,36467,-86.2570571899,31.2806682587,"Highway 331
Opp, Alabama 36467
(31.2806682587, -86.2570571899)"
Alabama,Hamilton Farmers Market,2151 Bexar Avenue West,Hamilton,35570,-88.0161166667,34.1554333333,"2151 Bexar Avenue West
Hamilton, Alabama 35570
(34.1554333333, -88.0161166667)"
Alabama,Festhalle Market Platz,209 1st Ave. NE,Cullman,35056,-86.84418,34.1792,"209 1st Ave. NE
Cullman, Alabama 35056
(34.1792, -86.84418)"
Alabama,Mt Laurel Farmers Market,5 Mt Laurel Avenue,Birmingham,35242,-86.6259111111,33.4091166667,"5 Mt Laurel Avenue
Birmingham, Alabama 35242
(33.4091166667, -86.6259111111)"
Alabama,Center Point Farmer's Market,2209 Center Point Parkway,Center Point,35215,,,"2209 Center Point Parkway
Center Point, Alabama 35215
(33.64240379881972, -86.68369939114596)"
